Character Analyzer2.5
Version2.5
Developed Date, 2023-05-11
Time Collected, PM 01:53:03
Date Collected, 2023-06-05
Time taken, 0.591

자음, 합계, , ,모음, 합계
ㄱ, 7137, , , ㅏ, 10410
ㄲ, 458, , , ㅐ, 2937
ㄳ, 1, , , ㅑ, 871
ㄴ, 9627, , , ㅒ, 241
ㄵ, 3, , , ㅓ, 3978
ㄶ, 72, , , ㅔ, 2304
ㄷ, 3239, , , ㅕ, 1428
ㄸ, 218, , , ㅖ, 97
ㄹ, 5521, , , ㅗ, 3473
ㄺ, 7, , , ㅘ, 373
ㄻ, 6, , , ㅙ, 221
ㄼ, 3, , , ㅚ, 158
ㄽ, 0, , , ㅛ, 262
ㄾ, 0, , , ㅜ, 2649
ㄿ, 0, , , ㅝ, 439
ㅀ, 12, , , ㅞ, 9
ㅁ, 3793, , , ㅟ, 192
ㅂ, 2286, , , ㅠ, 267
ㅃ, 137, , , ㅡ, 4169
ㅄ, 68, , , ㅢ, 161
ㅅ, 3476, , , ㅣ, 6945
ㅆ, 644
ㅇ, 12748
ㅈ, 3925
ㅉ, 269
ㅊ, 801
ㅋ, 22067
ㅌ, 1366
ㅍ, 624
ㅎ, 2886

글자수, , 65796,대화수, , 18131
자음수, , 24429,이모티콘수 , , 0
